trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
145,False,"{'a': 0.01, 'e': 0.12050276936736662}",25,2,30.391133732381842,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.01, 'e': 0.11056977982006959}",25,11,-11.326730082825797,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
147,False,"{'a': 0.01, 'e': 0.10062573338693173}",30,16,27.339221344754158,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.01, 'e': 0.09067162446430968}",20,11,16.72700203086704,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.01, 'e': 0.08070844845480063}",25,7,28.672533900013274,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.01, 'e': 0.0707372016677029}",25,14,22.22166893783436,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.01, 'e': 0.0607588812193859}",20,8,21.947941112072456,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.01, 'e': 0.05077448493357918}",35,23,22.304824413680592,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.01, 'e': 0.040785011241591035}",20,0,8.001176878084838,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
154,False,"{'a': 0.01, 'e': 0.03079145908246612}",20,12,15.066588263865455,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.01, 'e': 0.020794827803092428}",25,14,20.073123652973536,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.01, 'e': 0.010796117058267392}",25,15,18.993259722689476,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.01, 'e': 0.0007963267107332633}",20,12,17.57684523396644,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,10,26.880252950176594,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,10,17.985158381243544,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,12,25.134237705688534,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,14,8.663640936025653,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",30,10,34.37345689967917,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,0,38.522257230507215,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,16,9.063217558768152,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,18,13.657285528437683,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,11,18.609505738373006,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,17,15.724586487861547,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
