trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
270,False,"{'a': 0.01, 'e': 0.06720551273974976}",20,16,9.440559103503954,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
271,False,"{'a': 0.01, 'e': 0.06653680671501687}",20,9,-19.738511081934462,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
272,False,"{'a': 0.01, 'e': 0.06587475442640296}",25,18,13.57834572077499,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
273,False,"{'a': 0.01, 'e': 0.06521928966812754}",30,18,22.735649877999244,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
274,False,"{'a': 0.01, 'e': 0.06457034689316848}",20,0,29.66465646599025,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
275,False,"{'a': 0.01, 'e': 0.06392786120670758}",20,3,34.761516067220896,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
276,False,"{'a': 0.01, 'e': 0.06329176835964072}",30,6,36.78206797825025,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
277,False,"{'a': 0.01, 'e': 0.06266200474215317}",25,11,-12.931566856334047,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
278,False,"{'a': 0.01, 'e': 0.062038507377358304}",30,13,27.191570569394383,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
279,False,"{'a': 0.01, 'e': 0.061421213915000133}",30,12,20.913121995916132,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
280,False,"{'a': 0.01, 'e': 0.06081006262521796}",20,13,13.575463950181298,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
281,False,"{'a': 0.01, 'e': 0.06020499239237355}",25,10,28.308431117046432,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
282,False,"{'a': 0.01, 'e': 0.059605942708939375}",25,17,-18.594825635020957,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
283,False,"{'a': 0.01, 'e': 0.05901285366944785}",30,21,17.95420607856582,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
284,False,"{'a': 0.01, 'e': 0.058425665964500835}",20,1,30.222407106763107,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
285,False,"{'a': 0.01, 'e': 0.05784432087483846}",20,16,6.183567333283545,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
286,False,"{'a': 0.01, 'e': 0.057268760265467365}",20,9,21.49349656230244,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
287,False,"{'a': 0.01, 'e': 0.05669892657984692}",25,8,31.217614153081207,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
288,False,"{'a': 0.01, 'e': 0.05613476283413374}",25,6,17.000565753795623,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
289,False,"{'a': 0.01, 'e': 0.05557621261148307}",20,9,21.735625033807153,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
290,False,"{'a': 0.01, 'e': 0.055023220056407245}",20,9,19.600794882882944,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
291,False,"{'a': 0.01, 'e': 0.054475729869189866}",20,7,22.030666518169987,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
292,False,"{'a': 0.01, 'e': 0.053933687300356026}",25,15,19.84541498929734,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
293,False,"{'a': 0.01, 'e': 0.05339703814519709}",25,15,18.928753691843813,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
294,False,"{'a': 0.01, 'e': 0.052865728738350375}",30,16,24.427330995042887,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
295,False,"{'a': 0.01, 'e': 0.052339705948432395}",25,9,27.693098526309566,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
296,False,"{'a': 0.01, 'e': 0.05181891717272584}",25,13,10.25730170304505,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
297,False,"{'a': 0.01, 'e': 0.05130331033191912}",30,19,19.099383073836908,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
298,False,"{'a': 0.01, 'e': 0.05079283386489851}",20,9,11.626042314617697,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
299,False,"{'a': 0.01, 'e': 0.05028743672359187}",20,16,7.461383965662781,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
300,False,"{'a': 0.01, 'e': 0.04978706836786395}",30,20,16.630101330450426,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
301,False,"{'a': 0.01, 'e': 0.04929167876046216}",20,0,16.04460135616444,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
302,False,"{'a': 0.01, 'e': 0.04880121836201297}",35,16,33.133859136564915,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
303,False,"{'a': 0.01, 'e': 0.048315638126067775}",20,13,12.992870432156447,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
304,False,"{'a': 0.01, 'e': 0.047834889494198375}",20,12,13.909645358212629,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
305,False,"{'a': 0.01, 'e': 0.047358924391140915}",20,8,23.0882851289058,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
306,False,"{'a': 0.01, 'e': 0.04688769521998849}",25,19,10.4806345558122,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
307,False,"{'a': 0.01, 'e': 0.04642115485743126}",25,14,18.691590793161332,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
308,False,"{'a': 0.01, 'e': 0.04595925664904421}",25,15,20.807465530702025,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
309,False,"{'a': 0.01, 'e': 0.04550195440462158}",35,19,19.007836813727103,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
310,False,"{'a': 0.01, 'e': 0.04504920239355781}",25,11,-14.543553047164998,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
311,False,"{'a': 0.01, 'e': 0.04460095534027454}",35,24,21.75357937738496,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
312,False,"{'a': 0.01, 'e': 0.04415716841969287}",20,11,9.167373162777933,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
313,False,"{'a': 0.01, 'e': 0.04371779725275095}",20,16,8.8101618645541,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
